name,price,review_count,rating,genre
Facebook,0,2974676,3.5,Social Networking
Instagram,0,2161558,4.5,Photo & Video
Clash of Clans,0,2130805,4.5,Games
Temple Run,0,1724546,4.5,Games
Pinterest,0,1061624,4.5,Social Networking
Bible,0,985920,4.5,Reference
Candy Crush Saga,0,961794,4.5,Games
Subway Surfers,0,706110,4.5,Games
Fruit Ninja Classic,1.99,698516,4.5,Games
Solitaire,0,679055,4.5,Games
Injustice: Gods Among Us,0,612532,4.5,Games
Hay Day,0,567344,4.5,Games
PAC-MAN,0,508808,3,Games
The Sims™ FreePlay,0,446880,4.5,Games
Google Earth,0,446185,3.5,Travel
Sonic Dash,0,418033,4.5,Games
Jetpack Joyride,0,405647,4.5,Games
Doodle Jump,0.99,395261,4.5,Games
Trivia Crack,0,393469,4.5,Games
Flow Free,0,373857,4.5,Games
Geometry Dash Lite,0,370370,5,Games
Twitter,0,354058,3.5,News
Messenger,0,351466,3,Social Networking
Tumblr,0,334293,4,Social Networking
Fruit Ninja®,0,327025,4.5,Games
Netflix,0,308844,3.5,Entertainment
Starbucks,0,303856,4.5,Food & Drink
Temple Run 2,0,295211,4.5,Games
My Horse,0,293857,4.5,Games
Fandango Movies - Times + Tickets,0,291787,4,Entertainment
WhatsApp Messenger,0,287589,4.5,Social Networking
The Simpsons™: Tapped Out,0,274501,4,Games
Plants vs. Zombies™ 2,0,267394,4.5,Games
Clash Royale,0,266921,4.5,Games
Kik,0,260965,4,Social Networking
Domino's Pizza USA,0,258624,5,Food & Drink
Pokémon GO,0,257627,3,Games
Boom Beach,0,241929,4.5,Games
MARVEL Contest of Champions,0,233599,4.5,Games
Bejeweled Blitz,0,221002,4,Games
Fallout Shelter,0,199396,4.5,Games
SimCity BuildIt,0,198338,4.5,Games
Real Basketball,0,198050,4.5,Games
Asphalt 8: Airborne,0,188568,4.5,Games
Farm Heroes Saga,0,187579,4.5,Games
ROBLOX,0,183621,4.5,Games
Bejeweled Classic,0,183259,4.5,Games
Call of Duty®: Heroes,0,179416,4.5,Games
Agar.io,0,176514,4.5,Games
Angry Birds Rio,0,170843,4.5,Games
Real Racing 3,0,164483,4.5,Games
WatchESPN,0,159735,4,Sports
aa,0,158845,4.5,Games
Episode - Choose Your Story,0,155903,4.5,Games
Tinder,0,143040,3.5,Lifestyle
Wish - Shopping Made Fun,0,141960,4.5,Shopping
Summoners War,0,137122,4.5,Games
Candy Crush Soda Saga,0,133394,4.5,Games
Where's My Water?,1.99,131656,4.5,Games
Smash Hit,0,126233,4.5,Games
My Talking Tom,0,123859,4.5,Games
Star Wars™: Galaxy of Heroes,0,122260,4.5,Games
Mad Libs,0,117889,3,Entertainment
Geometry Dash Meltdown,0,117470,4.5,Games
MORTAL KOMBAT X,0,114475,4.5,Games
Yahoo Weather,0,112603,4.5,Weather
Allrecipes Dinner Spinner,0,109349,3.5,Food & Drink
Angry Birds 2,0,109104,4,Games
myAT&T,0,108507,3,Utilities
Hill Climb Racing,0,108183,4.5,Games
slither.io,0,107817,3.5,Games
Cooking Fever,0,107797,4.5,Games
Shadow Fight 2,0,99206,4.5,Games
iFunny :),0,98344,3.5,Entertainment
The CW,0,97368,4.5,Entertainment
War Robots,0,97122,4.5,Games
PewDiePie's Tuber Simulator,0,90851,5,Games
Fitbit,0,90496,4,Health & Fitness
Score! Hero,0,85395,4.5,Games
Angry Birds Epic RPG,0,84680,4.5,Games
Hungry Shark Evolution,0,83784,4.5,Games
DIRECTV,0,81006,3.5,Entertainment
Township,0,80801,4.5,Games
Best Buy,0,80424,4,Shopping
"Egg, Inc.",0,79074,5,Games
Nyan Cat: Lost In Space,0,76392,4.5,Games
Toy Blast,0,75822,4.5,Games
Angry Birds Go!,0,75793,4,Games
Xbox,0,72187,4.5,Entertainment
LinkedIn,0,71856,3.5,Social Networking
UNO ™ & Friends,0,68911,4,Games
Speedtest by Ookla,0,65016,3.5,Utilities
Google Docs,0,64259,4.5,Productivity
USA TODAY,0,61724,3.5,News
Redbox,0,60236,3,Entertainment
My Talking Angela,0,54549,4.5,Games
WGT Golf Game by Topgolf,0,53285,4.5,Games
Frozen Free Fall,0,50593,4.5,Games
Dropbox,0,49578,3.5,Productivity
Timehop,0,49510,3.5,Social Networking
Uber,0,49466,3,Travel
Citi Mobile®,0,48822,3.5,Finance
Microsoft Word,0,47999,4.5,Productivity
NBA,0,43682,3.5,Sports
Amazon Prime Video,0,43667,4,Entertainment
Wells Fargo Mobile,0,43064,3,Finance
Bloons TD 5,2.99,42078,4.5,Games
NBA LIVE Mobile Basketball,0,40619,4,Games
Microsoft OneNote,0,39638,4.5,Productivity
Angry Birds Space HD,0,39502,4,Games
Photo Editor by Aviary,0,39501,4.5,Photo & Video
Fishdom,0,39217,4.5,Games
Indeed Job Search,0,38681,4,Business
Disney Crossy Road,0,38571,4.5,Games
Hangouts,0,36404,4,Social Networking
ClassDojo,0,35440,4.5,Education
Need for Speed™ No Limits,0,34998,4.5,Games
WeChat,0,34584,4.5,Social Networking
Chase Mobile,0,34322,4.5,Finance
Angry Birds Star Wars,0,34138,4.5,Games
Hill Climb Racing 2,0,33854,4.5,Games
Choices: Stories You Play,0,33698,4.5,Games
NBC News,0,32881,3.5,News
Grand Theft Auto: San Andreas,6.99,32533,4,Games
Candy Crush Jelly Saga,0,32395,4,Games
Zombie Tsunami,0,31311,4.5,Games
Rolling Sky,0,30670,4.5,Games
Southwest Airlines,0,30552,3,Travel
PicsArt Photo Studio: Collage Maker & Pic Editor,0,29078,4.5,Photo & Video
YouTube Kids,0,28560,4.5,Entertainment
Dude Perfect 2,0,28361,4.5,Games
GroupMe,0,28260,4.5,Social Networking
FINAL FANTASY BRAVE EXVIUS,0,28187,4.5,Games
Tom's Love Letters,0,27711,4,Entertainment
Five Nights at Freddy's,2.99,27388,4.5,Games
Animal Jam - Play Wild!,0,26990,4.5,Games
Google Translate,0,26786,3.5,Reference
Bad Piggies,0,26259,4.5,Games
DoorDash - Food Delivery,0,25947,4.5,Food & Drink
Mobile Strike,0,24935,3.5,Games
Angry Birds Blast,0,24878,4.5,Games
Google Sheets,0,24602,4.5,Productivity
Microsoft Excel,0,24430,4.5,Productivity
Hungry Shark World,0,24057,4.5,Games
Angry Birds Friends,0,23655,4,Games
Design Home,0,23298,4.5,Games
Traffic Racer,0,22458,4.5,Games
Airbnb,0,22302,4,Travel
Inside Out Thought Bubbles,0,21881,4.5,Games
NBA JAM by EA SPORTS™,4.99,21648,4,Games
MARVEL Future Fight,0,20906,4.5,Games
Wishbone - Compare Anything,0,20649,4.5,Social Networking
Dubsmash,0,20243,4.5,Entertainment
T-Mobile,0,19977,4,Productivity
USAA Mobile,0,19946,4,Finance
Bad Piggies HD,0,19018,4.5,Games
The Washington Post Classic,0,18572,4.5,News
Five Nights at Freddy's 2,2.99,18107,4.5,Games
MARVEL Avengers Academy,0,17376,4,Games
Swamp Attack,0,16968,4.5,Games
Zombie Catchers,0,16805,4.5,Games
"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",0,16683,3.5,Sports
NASCAR MOBILE,0,16385,4,Sports
Plants vs. Zombies™ Heroes,0,16305,4.5,Games
NHL,0,15554,3.5,Sports
Afterlight,0.99,14057,4.5,Photo & Video
Star Chart,0,13482,4.5,Education
Regal Cinemas,0,13257,4.5,Entertainment
Nick,0,13237,3.5,Entertainment
Geocaching®,0,12811,3.5,Navigation
YouNow: Live Stream Video Chat,0,12079,3.5,Social Networking
Puffin Web Browser,0,11677,4,Utilities
Peggle Blast,0,11528,4,Games
Amex Mobile,0,11421,4,Finance
Dumb Ways to Die 2: The Games,0,11295,4,Games
VSCO,0,11174,3.5,Photo & Video
True Skate,1.99,11065,4,Games
Microsoft PowerPoint,0,10939,4,Productivity
